goods_id,name,steam_price_cny,lowest_price,total_count
33868,AK-47 | 血腥运动 (崭新出厂),519.04,365,91
33870,AK-47 | 血腥运动 (略有磨损),429.29,306.5,91
34586,炙热沙城 II 胸章,239.79,171.99,59
35228,M4A1 消音型 | 破碎铅秋 (崭新出厂),56.82,40.85,91
35300,M4A4 | 地狱烈焰 (崭新出厂),303.46,204.99,91
35878,“血猎大行动”通行证（已过期）,254.97,171.9,56
35894,“野火大行动”通行证（已过期）,865.17,689.7,12
36359,SCAR-20 | 血腥运动 (崭新出厂),49,30,91
38157,AK-47（StatTrak™） | 血腥运动 (崭新出厂),1520.05,992.5,91
38159,AK-47（StatTrak™） | 血腥运动 (略有磨损),1097.61,770,91
38676,加利尔 AR（StatTrak™） | 火箭冰棒 (崭新出厂),110.02,73.8,91
38678,加利尔 AR（StatTrak™） | 火箭冰棒 (略有磨损),26.34,18.5,91
38834,M4A1 消音型（StatTrak™） | 破碎铅秋 (崭新出厂),184.59,116.99,65
38836,M4A1 消音型（StatTrak™） | 破碎铅秋 (略有磨损),80.71,56.49,91
38881,M4A4（StatTrak™） | 地狱烈焰 (崭新出厂),1032.98,649.5,91
39090,音乐盒（StatTrak™） | Daniel Sadowski — 绝对统御,65.53,46.88,82
39117,音乐盒（StatTrak™） | 多名作曲家 — 迈阿密热线,58.5,38.46,91
39385,PP-野牛（StatTrak™） | 核燃料棒 (崭新出厂),73.67,51.9,63
39444,SCAR-20（StatTrak™） | 血腥运动 (崭新出厂),137.78,92.9,66
39799,XM1014（StatTrak™） | 四季 (崭新出厂),25.76,19,91
39918,印花 | 神烦爆破狗,19.05,14.05,91
39943,印花 | 白羽鸡,6.52,4.38,91
42349,刺刀（★）,3198.29,2219.9,91
42351,刺刀（★） | 自动化 (崭新出厂),5800.13,3770,43
42353,刺刀（★） | 自动化 (略有磨损),4038.93,2577,91
42391,刺刀（★） | 渐变之色 (崭新出厂),5073.13,3249,91
42395,刺刀（★） | 森林 DDPAT (略有磨损),1475.18,899.5,41
42530,蝴蝶刀（★）,7462.1,5436,91
42682,折叠刀（★）,1030.01,769.5,91
42965,爪子刀（★） | 自动化 (略有磨损),9873.15,4897,91
43052,M9 刺刀（★）,3421.95,2299.9,20
43265,刺刀（★ StatTrak™）,7500.26,2250,29
43294,刺刀（★ StatTrak™） | 渐变之色 (崭新出厂),5901.18,3399,36
43389,蝴蝶刀（★ StatTrak™）,8264.26,5449.5,87
43443,弯刀（★ StatTrak™）,1065.19,760,12
43497,折叠刀（★ StatTrak™）,1316.42,810,24
43774,M9 刺刀（★ StatTrak™）,3608.54,2388,21
44002,弯刀（★）,892.68,614.98,91
45654,刺刀（★） | 森林 DDPAT (崭新出厂),4473.97,1450,3
759200,AWP | 猫猫狗狗 (崭新出厂),36.54,24.9,91
755701,咆哮胸章,591.93,397,91
759281,AWP（StatTrak™） | 猫猫狗狗 (崭新出厂),113.18,78.9,91
759509,短剑（★）,1160.04,790,91
759672,短剑（★ StatTrak™）,1219.63,817.4,70
755696,欢迎翻盘胸章,52.3,35.35,91
762185,格洛克 18 型 | 核子花园 (崭新出厂),79.29,55,91
763243,AWP | 黑色魅影 (崭新出厂),332.06,229.5,91
763420,AWP（StatTrak™） | 黑色魅影 (崭新出厂),890.22,576,91
773529,印花 | Rush 4x20 (全息),16.46,12.57,91
773668,法玛斯 | 纪念碑 (崭新出厂),157.8,99.5,91
773706,P90 | 往日行动 (崭新出厂),69.08,40.89,91
773757,法玛斯 | 纪念碑 (略有磨损),102.27,71.5,91
773780,法玛斯（StatTrak™） | 纪念碑 (崭新出厂),468.35,329.44,91
773797,P90（StatTrak™） | 往日行动 (崭新出厂),203.12,134,50
775988,骷髅匕首（★）,7102.15,4949,91
776879,骷髅匕首（★ StatTrak™）,9365.93,5020,35
779226,SSG 08 | 浮生如梦 (崭新出厂),16.85,11.3,91
779263,MAC-10 | 渐变迪斯科 (崭新出厂),118.61,81.8,91
779322,SSG 08（StatTrak™） | 浮生如梦 (崭新出厂),64.11,41,91
779333,M4A1 消音型 | 二号玩家 (崭新出厂),482.62,358.8,91
779328,MAC-10（StatTrak™） | 渐变迪斯科 (崭新出厂),390.75,269.5,90
781660,沙漠之鹰 | 印花集 (崭新出厂),1158.88,873,91
781671,沙漠之鹰 | 印花集 (略有磨损),780.59,574.4,91
781677,沙漠之鹰（StatTrak™） | 印花集 (略有磨损),1598.56,1169,91
781718,沙漠之鹰（StatTrak™） | 印花集 (崭新出厂),3108.09,2050,91
835330,“狂牙大行动”通行证（已过期）,114.47,78.1,91
835348,老K | 专业人士,45,31,91
835382,残酷的达里尔爵士（聒噪）| 专业人士,57.46,39.89,20
835470,指挥官 梅 “极寒” 贾米森 | 特警,29.44,22,91
835504,印花 | 战痕累累（全息）,43.06,28.5,91
835595,M4A4 | 全球攻势 (崭新出厂),53.59,37.48,91
835610,残酷的达里尔爵士（迈阿密）| 专业人士,84,59.77,91
835822,M4A4 | 赛博 (崭新出厂),184.2,128.5,91
835741,化学防害专家 | 特警,16.4,12.7,91
835837,M4A4（StatTrak™） | 赛博 (崭新出厂),661.92,430,91
goods_id,name,steam_price_cny,lowest_price,total_count
33868,AK-47 | 血腥运动 (崭新出厂),517.03,365,91
33870,AK-47 | 血腥运动 (略有磨损),445.13,304.5,91
34586,炙热沙城 II 胸章,252.66,173.5,57
35228,M4A1 消音型 | 破碎铅秋 (崭新出厂),57.93,39.3,91
35300,M4A4 | 地狱烈焰 (崭新出厂),287.61,208,91
35878,“血猎大行动”通行证（已过期）,256.2,167.78,47
35894,“野火大行动”通行证（已过期）,862.44,689,12
36359,SCAR-20 | 血腥运动 (崭新出厂),41.07,29.9,91
38157,AK-47（StatTrak™） | 血腥运动 (崭新出厂),1475.71,1006.7,91
38159,AK-47（StatTrak™） | 血腥运动 (略有磨损),1094.31,754,91
38676,加利尔 AR（StatTrak™） | 火箭冰棒 (崭新出厂),115.87,73.7,91
38678,加利尔 AR（StatTrak™） | 火箭冰棒 (略有磨损),28.19,19,91
38834,M4A1 消音型（StatTrak™） | 破碎铅秋 (崭新出厂),191.44,115.5,64
38836,M4A1 消音型（StatTrak™） | 破碎铅秋 (略有磨损),78.15,52.6,91
38881,M4A4（StatTrak™） | 地狱烈焰 (崭新出厂),1062.12,654.88,91
39090,音乐盒（StatTrak™） | Daniel Sadowski — 绝对统御,65.21,41.36,91
39117,音乐盒（StatTrak™） | 多名作曲家 — 迈阿密热线,60.89,40,91
39385,PP-野牛（StatTrak™） | 核燃料棒 (崭新出厂),75.76,51.9,57
39799,XM1014（StatTrak™） | 四季 (崭新出厂),28.19,17.9,91
39918,印花 | 神烦爆破狗,21.5,13.88,82
39943,印花 | 白羽鸡,5.54,4.04,89
42349,刺刀（★）,3670.24,2229,91
42351,刺刀（★） | 自动化 (崭新出厂),5795.19,3810,41
42353,刺刀（★） | 自动化 (略有磨损),3995.57,2569.5,91
39444,SCAR-20（StatTrak™） | 血腥运动 (崭新出厂),132.09,90.5,76
42391,刺刀（★） | 渐变之色 (崭新出厂),5035.04,3290,91
42395,刺刀（★） | 森林 DDPAT (略有磨损),1397.88,910.6,34
42530,蝴蝶刀（★）,8142.93,5499.99,91
42682,折叠刀（★）,1394.47,762.5,91
42965,爪子刀（★） | 自动化 (略有磨损),10421.28,4900,91
43265,刺刀（★ StatTrak™）,9979.11,2319,28
43052,M9 刺刀（★）,3527.4,2330,91
43294,刺刀（★ StatTrak™） | 渐变之色 (崭新出厂),5836.33,3397.5,32
43389,蝴蝶刀（★ StatTrak™）,9223.27,5555,84
43443,弯刀（★ StatTrak™）,1061.93,760,11
43497,折叠刀（★ StatTrak™）,1310.85,800,24
43774,M9 刺刀（★ StatTrak™）,3279.19,2430,20
44002,弯刀（★）,880.27,620,20
45654,刺刀（★） | 森林 DDPAT (崭新出厂),4460.52,1450,4
755696,欢迎翻盘胸章,52.98,35.87,91
755701,咆哮胸章,592.41,400,91
759200,AWP | 猫猫狗狗 (崭新出厂),36.43,25.6,91
759281,AWP（StatTrak™） | 猫猫狗狗 (崭新出厂),116.64,77.7,91
759509,短剑（★）,1159.26,787.5,91
759672,短剑（★ StatTrak™）,1324.69,818,65
762185,格洛克 18 型 | 核子花园 (崭新出厂),78.79,55.59,91
763243,AWP | 黑色魅影 (崭新出厂),344.19,234.5,91
763420,AWP（StatTrak™） | 黑色魅影 (崭新出厂),894.76,578,91
773529,印花 | Rush 4x20 (全息),17.57,12.77,91
773668,法玛斯 | 纪念碑 (崭新出厂),148.05,99.5,91
773706,P90 | 往日行动 (崭新出厂),66.82,44.8,91
773757,法玛斯 | 纪念碑 (略有磨损),95.98,70.8,91
773780,法玛斯（StatTrak™） | 纪念碑 (崭新出厂),514.58,327.43,91
773797,P90（StatTrak™） | 往日行动 (崭新出厂),179.53,130,64
775988,骷髅匕首（★）,7362.75,4930,91
776879,骷髅匕首（★ StatTrak™）,8971.26,5020,32
779226,SSG 08 | 浮生如梦 (崭新出厂),17.12,12.3,91
779263,MAC-10 | 渐变迪斯科 (崭新出厂),116.77,83.76,91
779322,SSG 08（StatTrak™） | 浮生如梦 (崭新出厂),57.42,40.4,91
779328,MAC-10（StatTrak™） | 渐变迪斯科 (崭新出厂),390.6,276.83,85
779333,M4A1 消音型 | 二号玩家 (崭新出厂),495.66,358.3,91
781660,沙漠之鹰 | 印花集 (崭新出厂),1144.19,847.5,91
781671,沙漠之鹰 | 印花集 (略有磨损),767.3,569,91
781677,沙漠之鹰（StatTrak™） | 印花集 (略有磨损),1596.85,1013,91
781718,沙漠之鹰（StatTrak™） | 印花集 (崭新出厂),3382.7,2060,91
835330,“狂牙大行动”通行证（已过期）,119.22,79.1,20
835348,老K | 专业人士,45.45,30.7,91
835382,残酷的达里尔爵士（聒噪）| 专业人士,53.81,40.4,91
835470,指挥官 梅 “极寒” 贾米森 | 特警,30.64,23.94,91
835504,印花 | 战痕累累（全息）,39.72,28.29,91
835595,M4A4 | 全球攻势 (崭新出厂),48.99,35,91
835610,残酷的达里尔爵士（迈阿密）| 专业人士,80.46,61,91
835741,化学防害专家 | 特警,17.38,12.89,91
835822,M4A4 | 赛博 (崭新出厂),171.87,119.5,91
835837,M4A4（StatTrak™） | 赛博 (崭新出厂),660.45,402.8,91
goods_id,name,steam_price_cny,lowest_price,total_count
33868,AK-47 | 血腥运动 (崭新出厂),529.52,364,91
33870,AK-47 | 血腥运动 (略有磨损),458.77,299,91
34586,炙热沙城 II 胸章,256.65,173,58
35228,M4A1 消音型 | 破碎铅秋 (崭新出厂),58.64,39.5,91
35300,M4A4 | 地狱烈焰 (崭新出厂),283.23,210,91
35878,“血猎大行动”通行证（已过期）,256.33,167.4,48
35894,“野火大行动”通行证（已过期）,862.44,688.69,12
36359,SCAR-20 | 血腥运动 (崭新出厂),44.42,28.6,91
38157,AK-47（StatTrak™） | 血腥运动 (崭新出厂),1522.44,1005.5,91
38159,AK-47（StatTrak™） | 血腥运动 (略有磨损),1092.76,754,91
38676,加利尔 AR（StatTrak™） | 火箭冰棒 (崭新出厂),115.87,73.9,91
38678,加利尔 AR（StatTrak™） | 火箭冰棒 (略有磨损),28.19,19.6,91
38834,M4A1 消音型（StatTrak™） | 破碎铅秋 (崭新出厂),190.73,115.9,65
38836,M4A1 消音型（StatTrak™） | 破碎铅秋 (略有磨损),74.93,52.8,91
38881,M4A4（StatTrak™） | 地狱烈焰 (崭新出厂),897.91,659,91
39090,音乐盒（StatTrak™） | Daniel Sadowski — 绝对统御,67.85,42.88,91
39117,音乐盒（StatTrak™） | 多名作曲家 — 迈阿密热线,60.12,37.99,91
39385,PP-野牛（StatTrak™） | 核燃料棒 (崭新出厂),75.7,51.8,56
39444,SCAR-20（StatTrak™） | 血腥运动 (崭新出厂),129.58,89.78,73
39799,XM1014（StatTrak™） | 四季 (崭新出厂),25.94,19.2,91
39918,印花 | 神烦爆破狗,20.86,13.78,76
39943,印花 | 白羽鸡,5.34,3.88,89
42349,刺刀（★）,3670.24,2210,91
42351,刺刀（★） | 自动化 (崭新出厂),5795.19,3810,41
42353,刺刀（★） | 自动化 (略有磨损),4221.19,2575,91
42391,刺刀（★） | 渐变之色 (崭新出厂),5200.02,3269,91
42395,刺刀（★） | 森林 DDPAT (略有磨损),1393.7,911.6,33
42530,蝴蝶刀（★）,8018.63,5497,91
42682,折叠刀（★）,1073.39,768,91
42965,爪子刀（★） | 自动化 (略有磨损),9192.31,4899.5,91
43052,M9 刺刀（★）,3493.16,2325,91
43265,刺刀（★ StatTrak™）,9979.11,2330,26
43294,刺刀（★ StatTrak™） | 渐变之色 (崭新出厂),5620.81,3487,32
43389,蝴蝶刀（★ StatTrak™）,9223.27,5590,85
43443,弯刀（★ StatTrak™）,1061.93,760,11
43497,折叠刀（★ StatTrak™）,1309.69,790,26
43774,M9 刺刀（★ StatTrak™）,3597.7,2440,21
44002,弯刀（★）,913.62,615,91
45654,刺刀（★） | 森林 DDPAT (崭新出厂),4460.52,1450,4
755696,欢迎翻盘胸章,51.56,36.8,91
755701,咆哮胸章,592.66,398.79,91
759200,AWP | 猫猫狗狗 (崭新出厂),36.76,25.78,91
759281,AWP（StatTrak™） | 猫猫狗狗 (崭新出厂),115.87,78.49,91
759509,短剑（★）,1149.09,779.5,91
759672,短剑（★ StatTrak™）,1324.69,825,65
762185,格洛克 18 型 | 核子花园 (崭新出厂),77.25,53,91
763243,AWP | 黑色魅影 (崭新出厂),328.29,229.5,91
763420,AWP（StatTrak™） | 黑色魅影 (崭新出厂),899.2,560,91
773529,印花 | Rush 4x20 (全息),17.12,12.8,91
773668,法玛斯 | 纪念碑 (崭新出厂),137.11,99.8,91
773706,P90 | 往日行动 (崭新出厂),65.47,48,91
773757,法玛斯 | 纪念碑 (略有磨损),101.51,70.7,91
773780,法玛斯（StatTrak™） | 纪念碑 (崭新出厂),514.52,327.44,91
773797,P90（StatTrak™） | 往日行动 (崭新出厂),193.05,126.9,59
775988,骷髅匕首（★）,7362.75,4919.5,91
776879,骷髅匕首（★ StatTrak™）,8971.26,5029.5,33
779226,SSG 08 | 浮生如梦 (崭新出厂),17.57,11.7,91
779263,MAC-10 | 渐变迪斯科 (崭新出厂),122.95,83.5,91
779322,SSG 08（StatTrak™） | 浮生如梦 (崭新出厂),61.92,40.4,91
779328,MAC-10（StatTrak™） | 渐变迪斯科 (崭新出厂),390.28,275.5,87
779333,M4A1 消音型 | 二号玩家 (崭新出厂),510.27,357.9,91
781660,沙漠之鹰 | 印花集 (崭新出厂),1142.26,844,91
781671,沙漠之鹰 | 印花集 (略有磨损),779.34,566.5,91
781677,沙漠之鹰（StatTrak™） | 印花集 (略有磨损),1448.8,1009,91
781718,沙漠之鹰（StatTrak™） | 印花集 (崭新出厂),3018.55,2188,91
835330,“狂牙大行动”通行证（已过期）,116.7,77.9,91
835348,老K | 专业人士,43.39,30.85,91
835382,残酷的达里尔爵士（聒噪）| 专业人士,61.02,39.9,91
835470,指挥官 梅 “极寒” 贾米森 | 特警,34.05,23.3,91
835504,印花 | 战痕累累（全息）,37.59,27.7,91
835595,M4A4 | 全球攻势 (崭新出厂),45.96,34.46,91
835610,残酷的达里尔爵士（迈阿密）| 专业人士,89.73,60.89,91
835741,化学防害专家 | 特警,16.74,12.29,91
835822,M4A4 | 赛博 (崭新出厂),173.99,113,91
835837,M4A4（StatTrak™） | 赛博 (崭新出厂),659.42,404.5,91
